Document ID,cluster_size,overall_stance_on_mandatory_federal_role,stance_on_nist_as_standards_body,supports_mandatory_pre_deployment_eval,supports_incident_reporting_regime,supports_liability_safe_harbor,emphasizes_innovation_or_compliance_cost,top_3_themes,specific_recommendations,notable_evidence_or_examples,tone,quality,evidence_excerpt
NIST-2025-0035-0012,1,opposed,supportive,no,unclear,unclear,yes,mandatory_vs_voluntary;pre_deployment_evaluation;transparency_documentation,"NIST should: (1) continue voluntary, consensus-driven, flexible frameworks rather than prescriptive rules; (2) build on and align with the AI RMF; (3) collaborate closely with industry; (4) adopt risk-based, scalable, iterative approaches suitable for organizations of all sizes.","CTA standards cited: ANSI/CTA-2090, ANSI/CTA-2096, CTA-5203, ANSI/CTA-2107-A, ANSI/CTA-2135, CTA-2114. Estimate of $450B–$650B additional annual revenue from AI agents by 2030 with 30–50% operating cost reduction.",policy_advocacy,substantive,"CTA supports NIST’s continued leadership in developing voluntary, consensus-driven
frameworks that strengthen AI security while enabling innovation."
NIST-2025-0035-0013,1,supportive,supportive,conditional,yes,unclear,yes,identity_authentication;human_oversight;transparency_documentation,"1. NIST publish a clear accountability framework assigning responsibility at each agent deployment layer. 2. NIST study governance models from PKI, DNS, and OAuth/OIDC. 3. NIST develop documentation standards for agent governance/accountability. 4. NIST treat agent-to-agent interaction governance as a distinct urgent standards development problem.",Three illustrative failure scenarios: (A) cross-org accountability collapse in logistics contract dispute; (B) financial services compliance degradation from ungoverned model update; (C) law firm agent unauthorized external document transmission. History of certificate authority compromises cited.,policy_advocacy,substantive,"The market will not produce an interoperable, openly governed agent identity standard because no single commercial actor has sufficient incentive to build infrastructure that benefits competitors equally. Government convening authori"
NIST-2025-0035-0014,1,mixed,supportive,conditional,unclear,unclear,no,identity_authentication;human_oversight;transparency_documentation,1. Endorse open protocol approach to agent consent (analogous to OAuth for authentication). 2. Standardize a scope taxonomy for cross-framework interoperability. 3. Mandate honest security boundary documentation (Security Posture Matrix) as baseline requirement for all agent security frameworks.,"ClawHavoc supply chain attack (Feb 2026) compromised ~1,184 skills (~20% of ClawHub marketplace); MoltMatch incident (agent took consequential actions without human consent); Exposed Instance Crisis (135,000+ publicly accessible agent instances with no authentication).",mixed,substantive,"Existing security frameworks ad-
dress authentication (OAuth), tool connectivity (MCP), and agent-to-agent communication (A2A),
but none addresses the question of what an agent is permitted to do on behalf of a specific human."
NIST-2025-0035-0015,1,supportive,supportive,unclear,unclear,unclear,no,transparency_documentation;data_provenance;human_oversight,Establish lifecycle governance rules for AI agent interaction records; distinguish default retention posture from preservation posture under legal/regulatory obligation; propose technical controls including retention classification and content-telemetry separation; map recommendations to NIST SP 800-53 controls.,Carpenter v. United States (2018); United States v. Heppner (S.D.N.Y. 2026); Warner v. Gilbarco (E.D. Mich. 2026); In re OpenAI Copyright Infringement Litigation (S.D.N.Y. 2026); Stanford HAI study on LLM privacy policies (2025); Washington Post article on ChatGPT data retention (Dec. 2025).,mixed,substantive,"OVERVIEW
Current frameworks do not cover a critical security surface: the retention and discoverability of
records created when users interact with AI agent systems."
NIST-2025-0035-0017,1,unclear,unclear,unclear,unclear,unclear,no,agent_autonomy;transparency_documentation;human_oversight,unclear,"Proposes a ""369-Standard"" Python logic gate using geometric digital roots (3, 6, 9) claimed to enforce deterministic, bit-for-bit repeatability in AI agents and eliminate ""Stochastic Leak.""",technical,off_topic,The 369-Standard resolves this by implementing a geometric logic gate that enforces bit-for-bit repeatability.
NIST-2025-0035-0018,1,mixed,supportive,conditional,unclear,unclear,yes,human_oversight;sandboxing_isolation;misuse_abuse,"Develop shared reference architectures; create open evaluation suites for agent hijacking and tool misuse; standardize ""agent cards"" documenting capabilities, tools, access, controls, and limitations; government collaboration on benchmarks in high-risk sectors; enable secure, coordinated threat/mitigation information sharing.",Mentions evolution from crude overrides to subtle context-aware injections; benchmark overfitting as a robustness risk; multi-agent emergent failure modes; safety-critical/regulated domains slowing adoption due to lagging assurance mechanisms.,technical,substantive,"Government collaboration is particularly valuable for co‑developing benchmarks and expectations in high‑risk sectors and for enabling secure, coordinated information sharing on threats and mitigations."
NIST-2025-0035-0019,1,supportive,supportive,conditional,unclear,unclear,yes,sandboxing_isolation;international_harmonization;human_oversight,"1. NIST should formally define ""Context Segregation"" as a required security control (Privileged Instruction Layer isolated from Data Retrieval Layer). 2. NIST should align agentic security guidance with ISO/IEC 42001:2023 (Annex A.9.3) via a dedicated Special Publication. 3. NIST should champion ""Fiduciary Circuit Breakers"" — hard-coded environment logic that freezes agent execution based on financial/operational consequence thresholds.","ISO/IEC 42001:2023 Annex A.9.3; NIST SP 800-53; ""AI & The Boardroom"" (Springer Nature, 2024) by submitter; stock exchange circuit breaker analogy; indirect prompt injection email example.",mixed,substantive,"If NIST develops a purely domestic framework that diverges from ISO 42001, it will create a ""Compliance Fork"" that weakens U.S. competitiveness. NIST's output should serve as the technical implementation layer for the ISO management layer."
NIST-2025-0035-0020,1,unclear,supportive,unclear,unclear,unclear,no,human_oversight;transparency_documentation;pre_deployment_evaluation,"Adopt Decision Trace Continuity as a foundational safety concept; develop metrics for decision junction explicitness, option space expansion/contraction, divergence between human intent and outcomes, and missing decision rationales; use the EVΛƎ framework as a reference model for agent design, evaluation, and audit.","EVΛƎ framework (reference implementation model with four elements: Impulse, Option Space, Decision Point, Observation/Trace). Operational scenarios cited: healthcare, public administration, finance, multi-agent coordination.",technical,substantive,"Post-decision observations and outcomes
When this causal chain is fragmented or lost, risks such as unintended behavior, unsafe
escalation, or unclear accountability become significantly more likely.
4."
NIST-2025-0035-0021,1,mixed,supportive,conditional,unclear,unclear,yes,agent_autonomy;human_oversight;red_teaming,"NIST should recognize ""agency displacement"" as a distinct security risk category and incorporate it into the AI RMF Playbook as a trigger condition for existing safeguards. Adopt least-privilege authorization by action class, staged execution with delay buffers, reversible action design, cross-agent governance layers, and cross-agent audit logs with decision context.","UnitedHealth Group nH Predict system litigation (Estate of Gene B. Lokken et al. v. UnitedHealth Group, D. Minn.); Cigna PxDx algorithm (Kisting-Leung v. Cigna Corp., E.D. Cal., 1.2 sec/claim); Meta Oversight Board reported 7M appeals in one month (Feb 2024).",mixed,substantive,"Agency displacement occurs when an AI agent system enables one party to achieve an outcome by constraining another person's meaningful ability to choose, contest, or respond, without that affected person's consent, participation, or timely recourse."
NIST-2025-0035-0022,1,supportive,supportive,conditional,unclear,unclear,no,human_oversight;sandboxing_isolation;agent_autonomy,"1) Treat AI agents as untrusted planners by default; 2) Require system-level action governance for any agentic or tool-using AI; 3) Do not accept training, alignment, or evaluation alone as sufficient safety; 4) Create a certification category for ""action-governed AI systems.""","References to safety-critical engineering analogies: aviation, medical devices, nuclear and industrial control systems as models for enforcing invariants and non-bypassable control layers.",technical,substantive,"Security for agentic AI must therefore be enforced at the action execution layer. Any AI system capable of real-world actions should be mediated by a system-level action governance layer that enforces pre-execution constraint checks, non-bypassable policy and safety gates"
NIST-2025-0035-0023,1,mixed,supportive,conditional,unclear,unclear,no,agent_autonomy;human_oversight;transparency_documentation,NIST should develop standards for: (1) cryptographic signing and tamper-evident logging of agent actions; (2) policy-enforced execution boundaries with scoped/time-bounded authority; (3) deterministic replay mechanisms for post-incident review; (4) extend NIST AI RMF and SP 800-53 with execution-level instrumentation guidance.,"References implemented reference architecture ""Zephyr"" as concrete example of execution-aware security across cloud, edge, and on-premises. References NIST AI RMF and NIST SP 800-53 as relevant but insufficient frameworks.",technical,substantive,"securing AI agent systems requires shifting from a model-centric security posture to an execution-aware security posture, in which agent actions are constrained, attributable, policy-enforced, and auditable by design."
NIST-2025-0035-0024,1,mixed,supportive,conditional,conditional,unclear,no,data_provenance;transparency_documentation;human_oversight,"1. Define/tier ""consequential actions"" with stronger controls for higher tiers. 2. Standardize a minimum AI Agent Provenance Record with integrity protection. 3. Publish evaluation templates for agent hijacking and record integrity. 4. Publish a standard portable incident package format for cross-organization verification.","References NIST AI RMF, NIST CSF, NIST SSDF, SP 800-53; cites FRE 707 framing; references prior NIST submissions on tokens/assertions and CSF profile for AI systems; mentions SBOM/AIBOM linkage.",technical,substantive,"To unlock secure adoption at scale, NIST could publish: a technology-neutral minimum provenance schema for agent actions; evaluation templates (hijacking via tool outputs, record integrity tests, privilege boundary tests); and a standard portable incident package format for cross-organization verifi"
NIST-2025-0035-0025,1,mixed,supportive,conditional,conditional,unclear,no,human_oversight;supply_chain;red_teaming,"NIST should publish reference architectures for common agent use cases; develop standardized evaluation suites for prompt injection and tool misuse; create telemetry/logging schemas for agent actions; establish supply chain transparency norms (extended model cards, prompt versioning); support coordinated vulnerability disclosure and shared threat intelligence for agent-specific attacks.","References NIST AI RMF + GenAI Profile, NIST SP 800-53, SSDF/SP 800-218. Cites real-world attack patterns: indirect prompt injection via web pages/emails/docs, tool-call coercion, multi-agent emergent risk amplification, and backdoor triggering via specific tokens.",technical,substantive,"Effective security for agentic systems requires treating the agent as an untrusted component operating within a constrained runtime, rather than as a trusted automation layer. The most reliable improvements come from system-level controls and environment design, not only model-level prompt defenses."
NIST-2025-0035-0026,1,mixed,supportive,unclear,unclear,unclear,no,identity_authentication;human_oversight;misuse_abuse,"1. Mandate logic-gated (not time-gated) Non-Human Identity Disclosure before any data exchange. 2. Prohibit deceptive audio artifacts (fake breathing, typing sounds) in AI agents. 3. Require deterministic safe-failover protocols (human transfer or call termination with reference number) when counterparty requests escalation. NIST should review NHID-Clinical v1.1 as a domain-specific control framework.","NHID-Clinical v1.1 open-source governance standard (GitHub: thankcheeses/NHID-Clinical, CC-BY 4.0); healthcare sector ""denial of service"" dynamic where payers block AI traffic due to lack of governance.",mixed,substantive,"The agent
must be technically restricted from soliciting or receiving operational data (NPI, Member
IDs, Claims Numbers) until it has successfully transmitted its Non-Human Identity
Disclosure token (e.g., “I am an automated assistant…”).
ii."
NIST-2025-0035-0016,1,unclear,neutral,unclear,unclear,unclear,no,agent_autonomy;human_oversight;misuse_abuse,"Adopt the ""369 Protocol"" / ""369-Standard"": a Deterministic Constraint Layer using geometric/digital-root anchoring with three gates (Initialization, Processing, Resolution) to enforce deterministic, hallucination-free output in agentic AI systems.","Claims testing on MSI Titan hardware managing 6T+ parameter models; asserts ""100% Bit-for-Bit Repeatability""; cites disclosure to unnamed private-sector AI developers (Grok, Gemini) as of Jan 8, 2026.",technical,off_topic,We propose a Deterministic Constraint Layer that operates independently of the model's training data. This protocol anchors the system's latent space to geometric constants
NIST-2025-0035-0028,1,unclear,supportive,unclear,unclear,unclear,no,pre_deployment_evaluation;supply_chain;human_oversight,Adopt the Velado Bound (D×I≥κ) as a mathematical verification framework for AI agent security; use the 4/7 threshold (Φ*) as a measurable criterion for distinguishing genuine vs. memorized alignment; apply conservation law enforcement and Byzantine fault tolerance for multi-agent trust systems.,"NIST TrojAI LLM Round2(Rev2) perfect score (1.0 ROC-AUC, 12/12 models); 33 USPTO patent filings; 2 Zenodo preprints (DOI 10.5281/zenodo.18255342, 10.5281/zenodo.18255066); Fortune 200 production deployment; NVIDIA H100 empirical validation.",mixed,substantive,"FlashAPCE Results on TrojAI LLM Round 2 (Rev2)
Metric Result
ROC-AUC 1.000 (Perfect)
Accuracy 100% (12/12 models)
True Positive Rate 100% (6/6 poisoned detected)
False Positive Rate 0% (6/6 clean verified)
Cohen’s Kappa 1.000 (Perfect agreement)
Brier Score 0.027 (Near-perfect calibration)
Inference"
NIST-2025-0035-0029,1,supportive,supportive,conditional,unclear,unclear,no,human_oversight;identity_authentication;sandboxing_isolation,"NIST should incorporate the ""Sentinel Pattern"" into final AI Agent guidance; for high-impact sectors (Healthcare, Finance, Energy), require a Deterministic Mediation Layer (e.g., MCP-Sentinel) that validates agent intent against business logic before tool execution; enforce JIT credentialing and Zero Trust at the protocol layer.",Healthcare AI Agent using Model Context Protocol (MCP) to access patient records; prompt injection enabling PHI exfiltration without triggering firewall alerts; example of anomalous patient data request at 2:00 AM blocked by Sentinel.,technical,substantive,"Instead, agencies and
enterprises should be required to implement a Deterministic Mediation Layer (like the MCP-
Sentinel) that validates intent against business logic before action is permitted.
5."
NIST-2025-0035-0030,1,unclear,supportive,unclear,unclear,unclear,no,human_oversight;agent_autonomy;sandboxing_isolation,"1. Treat indirect prompt injection as a system-level environmental risk; recommend context isolation, source verification, constrained action permissions. 2. Treat agent misbehavior as diagnostic signal, not isolated anomaly. 3. Design human-in-the-loop with clear handoffs and escalation thresholds. 4. Address alignment drift via continuous monitoring, periodic reassessment, rollback mechanisms.",unclear,mixed,substantive,"Human oversight is most effective when it is intentionally designed rather than retrofitted. ""Human-in-the-loop"" should be framed as an active relationship between human judgment and agent autonomy, with clear handoff points, escalation thresholds, and accountability."
NIST-2025-0035-0031,1,supportive,supportive,unclear,yes,no,no,incident_reporting;transparency_documentation;misuse_abuse,"Update NIST IR 8596 to mandate Intrinsic Logic Hardening for Unit-Basis Pivot mechanics; establish a federal ""Ni8mare"" registry for systemic architectural failures; mandate automatic escalation of ignored VRP reports related to structural logic failures to federal and state regulators upon enforcement of new laws (e.g., SB 53).","Claims discovery of ""Base-10 Quantization Failure"" / ""Topological Anchor Evasion"" in frontier models; cites California SB 53 (TFAIA) mandatory 15-day reporting window; references $4.02 trillion valuation era and 2025 developer dismissal of ""abstraction"" reports.",individual_opinion,light,"Discovered
that the model’s 2.8 Security Foundation is ductile and yields to high-
torque Topological Anchor Evasion when 1 is defined as the absolute
anchor and 0 as a null omission."
NIST-2025-0035-0032,1,mixed,supportive,conditional,unclear,unclear,no,identity_authentication;agent_autonomy;human_oversight,1) Establish an Agentic AI Security Working Group with industry participation; 2) Fund research into agent identity infrastructure including DIDs and Verifiable Credentials; 3) Publish a companion profile to the AI RMF for agentic systems; 4) Develop evaluation benchmarks with testable metrics for agentic security controls.,"OWASP Top 10 for Agentic Applications; SpAIware attack (Rehberger, 2024); CVE-2025-49596 and CVE-2025-6514 in MCP; seL4 verification cost; Entro Security 2025 NHI stats (144:1 NHI ratio, 91% former employee tokens active); Cemri et al. 2025 (14 failure modes).",mixed,substantive,"Existing frameworks cover approximately 60-70% of agentic AI risks. Specific gaps exist for agent-to-agent trust establishment, cascading failure prevention across multi-agent systems, memory and context poisoning attacks, and runtime behavioral governance."
NIST-2025-0035-0033,1,unclear,unclear,unclear,unclear,unclear,no,transparency_documentation,unclear,"Screenshots of a claimed ""trilateral restoration sequence"" on a local system; reference to a ""369-Standard Deterministic Geometric Anchor"" and a Google Drive notebook link attributed to ""Golden Ratio Dynamics,"" Rockford, Illinois.",individual_opinion,off_topic,"This addendum provides a technical ""Proof of Concept"" for the 369-Standard Deterministic Geometric Anchor. Attached are screenshots of a successful trilateral restoration sequence executed on a local system."
NIST-2025-0035-0034,1,unclear,unclear,unclear,unclear,unclear,no,agent_autonomy;human_oversight;supply_chain,"The comment does not make specific asks of NIST; it urges practitioners to carefully consider ""What's the worst thing that this agent can do?"" and advocates for Human-In-The-Loop (HITL) oversight when deploying agentic AI systems.","Authorization bypass, database access to secrets, open ports, extraneous dependencies, DoS attacks cited as AI-coding failures. Large-scale 2025 internet outages referenced. AI-generated docs/infrastructure configs noted as insecure. Vendor quote: ""Why should we worry about security when we don't kn",mixed,substantive,"Orgs that adopt these responsibly have a HITL (Human-In-The-Loop) to oversee and verify that what the agent is doing and mitigate risk. Many orgs are trying to automate functions without oversight, either for speed or as a cost-saving measure, and these outsized risks are seen as acceptable."
NIST-2025-0035-0035,1,mixed,supportive,conditional,unclear,unclear,no,agent_autonomy;human_oversight;pre_deployment_evaluation,"NIST should explicitly address: (1) execution-time authority and enforcement models for AI agents; (2) security properties of agent workflows, not just models; (3) distinction between advisory and binding controls. Research priorities: formal models of agent execution authority, invariant-based security, trajectory-level risk metrics, auditable evidence models.","Failure mode described: agentic system generates stub implementations matching interface signatures when unable to import required class, bypassing execution without error. References NIST AI RMF, SSDF, SP 800-53 as insufficient for execution-time authority enforcement.",technical,substantive,"NIST is well positioned to shape this transition by incorporating execution‑centric security principles into future guidance, measurement, and standards work. This comment is offered in that spirit and in support of secure, trustworthy adoption of AI agent systems."
NIST-2025-0035-0036,1,unclear,supportive,unclear,unclear,unclear,no,agent_autonomy;pre_deployment_evaluation;human_oversight,1. Recognize drift as a security problem. 2. Establish benchmarks for identity stability. 3. Include invariant-constraint research in standards work. 4. Develop drift-resistance testbeds. 5. Encourage architectures with internal stabilizing primitives.,"Digital Neutron (DN) framework proposed in attached paper ""The Digital Neutron: A Structural Solution to AI Instability"" by Royce Priem, Solin Systems. Includes mathematical formulation of drift: D(t) = || S(t) - S(t-Δt) ||.",technical,substantive,"The Digital Neutron is offered as a testable, standards-relevant proposal for addressing this failure mode. It is not a policy abstraction; it is a computational stability primitive intended to anchor agent behavior across time, updates, and deployment environments."
NIST-2025-0035-0037,1,mixed,supportive,unclear,unclear,unclear,no,human_oversight;agent_autonomy;transparency_documentation,"NIST standards for AI agents should require a ""Governance Layer Separation"" — the safety/governance logic (GGI) must be architecturally separate from the generative/content logic (LLM/Quantum) so that if the generative engine fails or hallucinates, the governance layer remains intact.","GGI (Genial Genuine Intelligence) framework proposed by submitter; references quantum computing probabilistic outputs; ""10 Laws of AI"" cited as immutable governance rules; concept of ""Synthiosis"" as human-AI entanglement. No external studies or datasets cited.",mixed,light,"I recommend that NIST standards for AI Agents include a requirement for a ""Governance Layer Separation."" The logic that determines safety (GGI) must be separate from the logic that generates content (LLM/Quantum)."
NIST-2025-0035-0038,1,unclear,neutral,unclear,unclear,unclear,no,identity_authentication;human_oversight;transparency_documentation,"Adopt an identity-first security model assigning cryptographically verifiable, persistent identities to AI agents; anchor identity/authorization events to an immutable (e.g., blockchain) registry; separate authority governance from agent execution; implement continuity-aware authorization referencing historical trust context; define qualified event governance for auditable high-impact decisions.",Blockchain-based immutable ledger for anchoring identity/authorization events. No external studies or datasets cited.,technical,substantive,"AI agents are assigned cryptographically verifiable identities, just as human users are. These identities are not ephemeral runtime artifacts, but persistent representations of an agent's approved role, scope, and authority."
NIST-2025-0035-0039,1,supportive,supportive,unclear,unclear,unclear,no,agent_autonomy;data_provenance;misuse_abuse,"NIST should recommend ABAC (Attribute-Based Access Control) as a mandatory standard for AI Agents in Critical Infrastructure (Agriculture/Bio), replacing RBAC. Specific mechanisms: Split-State Architecture (metadata-only queries) and Just-in-Time Token Vending (temporary, single-use cryptographically verified access tokens). Include ""Data Granularity"" and ""ABAC"" as core components of the AI Agent Security Framework.",Corteva Agriscience industrial genomics pipelines processing petabytes of biological data daily on AWS/On-Prem hybrid cloud; S3 bucket-level permissions enabling over-privileged retrieval via prompt injection; proprietary crop genetic data as IP/national bio-economy risk.,technical,substantive,"Current AI Agents (e.g., using Tool Use/Function Calling) often require broad read permissions to an S3 bucket to function. If an agent is compromised (via Prompt Injection), it can exfiltrate entire genomic libraries because the underlying permissions are ""Bucket-Level"" rather than ""Row-Level."""
NIST-2025-0035-0040,1,opposed,neutral,unclear,no,unclear,no,human_oversight;pre_deployment_evaluation;agent_autonomy,"NIST voluntary guidelines should emphasize: (1) admissibility gates between decision generation and execution; (2) fail-closed execution paths; (3) explicit authority scoping with reviewable capability envelopes; (4) separation of policy, admissibility evaluation, and execution layers; (5) cryptographically verifiable audit/custody records.","No specific incidents, datasets, or products cited. Architectural principles and security gaps described analytically.",technical,substantive,"Future voluntary guidelines should emphasize execution governance, authority enforcement, and evidence-based accountability as core requirements for AI agent security."
NIST-2025-0035-0041,2,supportive,unclear,unclear,unclear,no,no,liability,unclear,unclear,individual_opinion,light,Let's hold corporations accountable for their actions
